classification,gyroscope_z_avg,accelerometer_y_avg,accelerometer_x_avg,accelerometer_z_avg,audio_avg,gyroscope_y_avg,gyroscope_x_avg,gyroscope_z_sdv,accelerometer_y_sdv,accelerometer_x_sdv,accelerometer_z_sdv,audio_sdv,gyroscope_y_sdv,gyroscope_x_sdv
paved_30,0.502257253,0.467657931,0.554220885,0.537810294,0.497459046,0.406525756,0.501268253,0.071864337,0.103364456,0.093567102,0.103603956,0.133294893,0.073034631,0.084430957
paved_30,0.457879507,0.455123073,0.539959632,0.544222375,0.497304896,0.404728171,0.675193468,0.040957662,0.052660413,0.055402138,0.052813266,0.038890727,0.033332468,0.036536436
paved_30,0.463185322,0.468798305,0.551176261,0.543860713,0.497352226,0.405381197,0.675759162,0.037038144,0.045049932,0.051447864,0.045905594,0.047119341,0.041960211,0.035380274
paved_30,0.431259923,0.453396995,0.561457591,0.543854367,0.497346442,0.402239574,0.675981435,0.040258511,0.056621903,0.068478046,0.060529972,0.052167481,0.053514532,0.040659268
paved_30,0.444874564,0.400572366,0.554238027,0.543950512,0.497409344,0.408891326,0.676410513,0.027677114,0.037159114,0.044527573,0.041006641,0.043499417,0.033232567,0.027140946
paved_30,0.44657315,0.512582906,0.534656525,0.534220821,0.497370679,0.405396225,0.668041301,0.063854634,0.077779586,0.077261058,0.084978218,0.062076292,0.056814757,0.038808627
paved_30,0.437222899,0.420263994,0.559780635,0.54743071,0.515737456,0.40773857,0.679063205,0.040283508,0.048761949,0.060478838,0.054120777,0.048219446,0.046824108,0.031553974
paved_30,0.401859652,0.415718441,0.541192514,0.54235957,0.536723583,0.408057474,0.672430162,0.078907552,0.072422255,0.078797986,0.083250808,0.101717741,0.060521794,0.047093423
paved_30,0.479527134,0.44677113,0.532001851,0.544590461,0.536658781,0.404797312,0.677088625,0.062886246,0.060180947,0.058272702,0.061708533,0.077990539,0.04476185,0.037727534
paved_30,0.434154986,0.453607909,0.566238307,0.542962105,0.536720642,0.408569955,0.676813612,0.046643605,0.061376728,0.083173613,0.077400123,0.054528631,0.056757024,0.036131808
paved_30,0.436004567,0.418016236,0.572459811,0.543841108,0.536783509,0.403723205,0.66486081,0.054698565,0.081528411,0.087927432,0.093552753,0.097458283,0.071783006,0.045868411
paved_30,0.409762341,0.421757558,0.569664366,0.545538878,0.505617536,0.409382982,0.664251761,0.082550744,0.108788716,0.12945422,0.113878036,0.156145899,0.093629746,0.060209785
paved_30,0.454635912,0.472301894,0.562586611,0.544622705,0.505400649,0.399940555,0.666582328,0.039430771,0.053560165,0.059615635,0.050483537,0.039277487,0.046796013,0.044953566
paved_30,0.442669762,0.475466122,0.549560024,0.546715913,0.505382086,0.405242243,0.666713651,0.0372285,0.040651533,0.071823433,0.042907876,0.041840213,0.05220826,0.030830704
paved_30,0.422599703,0.430594913,0.563031339,0.541541342,0.5054106,0.408755019,0.662055396,0.043360608,0.06282554,0.072288837,0.067246797,0.072434403,0.051193579,0.038416545
paved_30,0.543497714,0.426896235,0.548977426,0.541029836,0.505318979,0.408029908,0.664038935,0.038021826,0.057890331,0.062792799,0.063766578,0.069242114,0.055142334,0.040506923
paved_30,0.474287968,0.409486894,0.559033589,0.545368209,0.505358988,0.406373109,0.663479227,0.052487825,0.080469811,0.077880955,0.07305206,0.04470051,0.056269198,0.03935848
paved_30,0.452294523,0.459566581,0.56024454,0.50756839,0.486693687,0.407455577,0.685234679,0.046444479,0.063448914,0.078732651,0.072206042,0.069728578,0.057169111,0.03509637
paved_30,0.585619407,0.447468509,0.544220953,0.506148254,0.486805381,0.407264882,0.681373198,0.041167061,0.056096107,0.063647158,0.06114718,0.058427632,0.048768123,0.048357986
paved_30,0.422571852,0.489605504,0.569329313,0.506574912,0.489097754,0.407614074,0.683852756,0.037431049,0.061028618,0.0624012,0.061938391,0.063445942,0.049752252,0.033134093
paved_30,0.450875915,0.57288138,0.554260757,0.505008622,0.489160699,0.411370459,0.682867297,0.098295849,0.076655795,0.108231671,0.100741512,0.136418901,0.076367187,0.054826933
paved_30,0.452303726,0.57919173,0.513987562,0.464694514,0.504182986,0.40641506,0.680024243,0.149437629,0.104081974,0.145460249,0.119768858,0.164955787,0.116015468,0.082069453
paved_30,0.451004707,0.556374935,0.492366293,0.467021805,0.504294953,0.410093261,0.683870177,0.051203338,0.037421273,0.063527322,0.044875242,0.033055339,0.038495955,0.039922315
unpaved_30,0.543609966,0.572519566,0.513747132,0.469870048,0.515491369,0.466249627,0.650175105,0.126826165,0.165890451,0.165369076,0.160162569,0.152025844,0.154284329,0.098630983
unpaved_30,0.531874091,0.497687513,0.477377697,0.513431043,0.515653385,0.46738427,0.603223728,0.101643863,0.100476062,0.127910886,0.111828136,0.137958503,0.118979423,0.079801984
unpaved_30,0.511981194,0.506919857,0.533546323,0.535382903,0.515382211,0.495233864,0.578979792,0.122602499,0.115989538,0.128436867,0.114211455,0.14562131,0.10759967,0.098127569
unpaved_30,0.445092922,0.48632522,0.497111517,0.510047591,0.508168238,0.440941418,0.490324006,0.124238781,0.126832982,0.136576292,0.149155699,0.165713365,0.118105389,0.127370541
unpaved_30,0.544066579,0.499629528,0.504340812,0.50486238,0.499751604,0.491428666,0.492416068,0.108105847,0.114570493,0.110085759,0.131091838,0.159164494,0.120330566,0.129759848
unpaved_30,0.472306555,0.508863643,0.511603208,0.510126882,0.499710432,0.480936956,0.494165633,0.078753847,0.087390279,0.086372375,0.088674171,0.149625407,0.088858909,0.086787139
unpaved_30,0.479098194,0.489212059,0.518660566,0.510432788,0.499798727,0.487175898,0.493759682,0.056953192,0.068449027,0.086007959,0.067319754,0.119080015,0.086894156,0.067771195
unpaved_30,0.472193394,0.495660939,0.505110644,0.513544755,0.499953013,0.482835116,0.496856431,0.0746188,0.096014796,0.093510908,0.09893669,0.154608897,0.098260222,0.093233128
unpaved_30,0.507185199,0.517958171,0.514778009,0.509010125,0.499839117,0.486103608,0.492327314,0.064664338,0.069524574,0.062913068,0.067602424,0.118188689,0.069911791,0.057895673
unpaved_30,0.48022573,0.483524685,0.516041584,0.511767685,0.500029042,0.487279236,0.496153507,0.062186697,0.079976384,0.082027739,0.093325058,0.15272318,0.087899718,0.069704256
